
Data was saved using Vista Data Vision
Saved: 2017-01-06 10:50:42

Time Period: 2016-01-01 00:00:00 - 2016-12-31 00:00:00

Time,Oceano Dunes: 10m StandevWS[N/A],Oceano Dunes: 10m-2m WS[N/A],Oceano Dunes: 10m-7m WS[N/A],Oceano Dunes: 2m StandevWS[N/A],Oceano Dunes: 7m StandevWS[N/A],Oceano Dunes: Tower S1 10m Wind Speed[m/s],Oceano Dunes: Tower S1 RH[%RH],Oceano Dunes: Tower S1 Temperature[°C],Oceano Dunes: Tower S1 Wind Direction[°],Oceano Dunes: Battery Voltage[V],Oceano Dunes: Relative Humidity[%RH],Oceano Dunes: Sensit Kinetic Energy[N/A],Oceano Dunes: Sensit Particle Count[Counts],Oceano Dunes: Sigma Theta (CSI) 10m[°],Oceano Dunes: Sigma Theta (CSI) 2m[°],Oceano Dunes: Sigma Theta (CSI) 7m[°],Oceano Dunes: Sigma Theta (Yam) 10m[°],Oceano Dunes: Sigma Theta (Yam) 2m[°],Oceano Dunes: Sigma Theta (Yam) 7m[°],Oceano Dunes: SWD 10m[°],Oceano Dunes: SWD 2m[°],Oceano Dunes: SWD 7m[°],Oceano Dunes: SWS 10m[m/s],Oceano Dunes: SWS 10m[m/s],Oceano Dunes: SWS 2m[m/s],Oceano Dunes: SWS 2m[m/s],Oceano Dunes: SWS 7m[m/s],Oceano Dunes: SWS 7m[m/s],Oceano Dunes: Temperature[°C],Oceano Dunes: VWD 10m[°],Oceano Dunes: VWD 2m[°],Oceano Dunes: VWD 7m[°],Oceano Dunes: VWS 10m[m/s],Oceano Dunes: VWS 2m[m/s],Oceano Dunes: VWS 7m[m/s],Oceano Dunes: WS Gust 10m[m/s],Oceano Dunes: WS Gust 2m[m/s],Oceano Dunes: WS Gust 7m[m/s],Oceano Dunes: WS Gust Time 10m[N/A],Oceano Dunes: WS Gust Time 2m[N/A],Oceano Dunes: WS Gust Time 7m[N/A]
2016-01-01 00:00:00,22.41058980814,15.376999855042,15.826999664307,-5.3805598511124,-4.6098898984051,4.097,81.8,4.257,106.9,12.59,81.8,0,0,10.99,114.6,114.6,5.47,0.477,0.393,107.4,332.2,332.4,4.097,4.097,-11.28,-11.28,-11.73,-11.73,4.257,106.9,152.2,152.4,4.022,11.28,11.73,5.445,-11.25,-11.68,,,
2016-01-01 01:00:00,18.297083712212,15.404000282288,15.86399936676,-4.9475303191853,-4.6802696887064,4.134,81.1,4.214,116.1,12.57,81.1,0,0,7.746,114.6,114.6,4.426,0.439,0.399,116.9,332.2,332.4,4.134,4.134,-11.27,-11.27,-11.73,-11.73,4.214,116.1,152.2,152.4,4.096,11.27,11.73,5.323,-11.23,-11.7,,,
2016-01-01 02:00:00,24.333541169605,14.476000547409,14.935999631882,-4.9813402211404,-4.7271897819614,3.206,79.99,4.119,117.7,12.62,79.99,0,0,12.03,114.6,114.6,7.59,0.442,0.403,117.2,332.2,332.5,3.206,3.206,-11.27,-11.27,-11.73,-11.73,4.119,117.7,152.2,152.5,3.136,11.27,11.73,4.771,-11.25,-11.7,,,
2016-01-01 03:00:00,23.201771392181,14.284000396729,14.734000205994,-5.0827702628779,-4.7114402247047,3.014,80.8,3.525,94.4,12.54,80.8,0,0,10.3,114.6,114.6,7.698,0.451,0.402,94.1,332.2,332.5,3.014,3.014,-11.27,-11.27,-11.72,-11.72,3.525,94.4,152.2,152.5,2.966,11.27,11.72,4.488,-11.23,-11.68,,,
2016-01-01 04:00:00,25.48733022253,14.16300034523,14.613000154495,-4.8573701328087,-4.6762799780083,2.893,80.8,2.996,97.8,12.53,80.8,0,0,11.75,114.6,114.6,8.81,0.431,0.399,96.9,332.2,332.5,2.893,2.893,-11.27,-11.27,-11.72,-11.72,2.996,97.8,152.2,152.5,2.833,11.27,11.72,4.272,-11.24,-11.68,,,
2016-01-01 05:00:00,28.716481338043,13.298000574112,13.757999658585,-4.9700703657794,-5.0438998870611,2.028,85.4,1.786,79.16,12.45,85.4,0,0,22.26,114.6,114.6,14.16,0.441,0.43,77.45,332.2,332.5,2.028,2.028,-11.27,-11.27,-11.73,-11.73,1.786,79.16,152.2,152.5,1.875,11.27,11.73,3.801,-11.24,-11.7,,,
2016-01-01 06:00:00,34.978879489059,13.518000364304,13.968000173569,-4.9926100765014,-5.0161601506138,2.248,82.7,2.4,104.3,12.46,82.7,0,0,21.84,114.6,114.6,15.56,0.443,0.428,98.9,332.2,332.5,2.248,2.248,-11.27,-11.27,-11.72,-11.72,2.4,104.3,152.2,152.5,2.085,11.27,11.72,4.515,-11.23,-11.68,,,
2016-01-01 07:00:00,58.489197250175,13.780000209808,14.230000019073,-5.0332200674105,-4.9767501558065,2.52,83.4,1.761,88.3,12.5,83.4,0,0,24.66,114.6,114.6,23.21,0.447,0.425,82.5,332.2,332.5,2.52,2.52,-11.26,-11.26,-11.71,-11.71,1.761,88.3,152.2,152.5,2.287,11.26,11.71,5.916,-11.23,-11.68,,,
2016-01-01 08:00:00,14.153172267845,13.057000279427,13.517000317574,-5.0444802582455,-5.1333600415134,1.797,82.4,2.127,110.3,12.45,82.4,0,0,8.48,114.6,114.6,7.876,0.448,0.438,108.6,332.2,332.5,1.797,1.797,-11.26,-11.26,-11.72,-11.72,2.127,110.3,152.2,152.5,1.778,11.26,11.72,3.302,-11.23,-11.68,,,
2016-01-01 09:00:00,32.582550450993,12.302999734879,12.752999544144,-5.3015998610497,-4.5746996536732,1.023,76.63,4.195,98.4,13,76.63,0,0,26.62,114.6,114.6,31.85,0.47,0.39,96.2,332.2,332.5,1.023,1.023,-11.28,-11.28,-11.73,-11.73,4.195,98.4,152.2,152.5,0.913,11.28,11.73,3.625,-11.25,-11.7,,,
2016-01-01 10:00:00,28.15722107151,12.917999744415,13.377999782562,-4.7150400309181,-4.8133998641729,1.638,69.4,7.488,101.1,14.2,69.4,0,0,21.7,114.6,114.6,17.19,0.418,0.41,97.8,332.1,332.4,1.638,1.638,-11.28,-11.28,-11.74,-11.74,7.488,101.1,152.1,152.4,1.52,11.28,11.74,2.923,-11.24,-11.7,,,
2016-01-01 11:00:00,53.010399692154,13.278000235558,13.728000044823,-5.1189001887798,-2.8552500084043,1.978,56.85,11.94,128.1,13.37,56.85,0,0,20.86,114.6,114.6,26.8,0.453,0.243,125.4,332.1,332.3,1.978,1.978,-11.3,-11.3,-11.75,-11.75,11.94,128.1,152.1,152.3,1.847,11.3,11.75,3.407,-11.27,-11.7,,,
2016-01-01 12:00:00,59.8245997087,12.730000376701,13.180000185966,-2.5447500270009,-2.6695200295258,1.42,62.07,13.17,254,13.14,62.07,0,0,32.63,114.6,114.6,42.13,0.225,0.227,254.1,332.1,332.3,1.42,1.42,-11.31,-11.31,-11.76,-11.76,13.17,254,152.1,152.3,1.189,11.31,11.76,3.028,-11.28,-11.72,,,
2016-01-01 13:00:00,27.151740822563,13.389000415802,13.828999996185,-4.2751800588441,-4.6294999271631,2.079,64.58,13.08,282.4,13.27,64.58,0,0,13.41,114.6,114.6,13.06,0.378,0.394,282.4,332,332.3,2.079,2.079,-11.31,-11.31,-11.75,-11.75,13.08,282.4,152,152.3,2.022,11.31,11.75,3.364,-11.29,-11.72,,,
2016-01-01 14:00:00,29.302840444956,13.138000369072,13.577999949455,-3.3477601673508,-4.7470001652837,1.828,62.02,13.39,301.4,13.27,62.02,0,0,15.52,114.6,114.6,16.03,0.296,0.404,300.7,332,332.3,1.828,1.828,-11.31,-11.31,-11.75,-11.75,13.39,301.4,152,152.3,1.761,11.31,11.75,3.35,-11.29,-11.72,,,
2016-01-01 15:00:00,34.735500323296,13.3850004673,13.825000047684,-3.5174100118542,-4.6647501736879,2.075,62.85,13.19,321.2,13.29,62.85,0,0,16.66,114.6,114.6,16.74,0.311,0.397,320.8,332,332.3,2.075,2.075,-11.31,-11.31,-11.75,-11.75,13.19,321.2,152,152.3,1.988,11.31,11.75,3.539,-11.26,-11.72,,,
2016-01-01 16:00:00,20.399121059303,13.306000471115,13.746000051498,-3.4156199703264,-2.9139999523759,1.996,65.28,12.68,326.3,12.94,65.28,0,0,16.63,114.6,114.6,10.22,0.302,0.248,326.5,332.1,332.3,1.996,1.996,-11.31,-11.31,-11.75,-11.75,12.68,326.3,152.1,152.3,1.912,11.31,11.75,3.311,-11.26,-11.71,,,
2016-01-01 17:00:00,14.441667196806,13.139000177383,13.588999986649,-4.5652002360106,-2.9727498963475,1.839,66.86,12.24,1.963,12.81,66.86,0,0,13.15,114.6,114.6,7.853,0.404,0.253,1.511,332.1,332.3,1.839,1.839,-11.3,-11.3,-11.75,-11.75,12.24,1.963,152.1,152.3,1.791,11.3,11.75,2.773,-11.27,-11.72,,,
2016-01-01 18:00:00,12.088602794884,13.207000017166,13.656999826431,-2.7547600216472,-3.9329000212908,1.917,69.84,11.21,21.42,12.69,69.84,0,0,12.25,114.6,114.6,6.306,0.244,0.335,22.69,332.1,332.3,1.917,1.917,-11.29,-11.29,-11.74,-11.74,11.21,21.42,152.1,152.3,1.873,11.29,11.74,2.531,-11.27,-11.71,,,
2016-01-01 19:00:00,8.9200702453184,12.670000195503,13.120000004768,-2.9267000871181,-4.1007500812411,1.37,70.5,10.47,71.54,12.61,70.5,0,0,17.35,114.6,114.6,6.511,0.259,0.349,71.86,332.1,332.4,1.37,1.37,-11.3,-11.3,-11.75,-11.75,10.47,71.54,152.1,152.4,1.307,11.3,11.75,1.818,-11.27,-11.72,,,
2016-01-01 20:00:00,11.223960873331,13.088999986649,13.538999795914,-4.7982501183748,-4.6842597799206,1.799,74.02,9.26,112.5,12.68,74.02,0,0,7.848,114.6,114.6,6.239,0.425,0.399,112,332.1,332.4,1.799,1.799,-11.29,-11.29,-11.74,-11.74,9.26,112.5,152.1,152.4,1.782,11.29,11.74,2.68,-11.26,-11.72,,,
2016-01-01 21:00:00,14.452074195505,13.431999921799,13.881999731064,-5.5095200432944,-4.6490398841715,2.142,76.87,8.22,104.6,12.69,76.87,0,0,7.715,114.6,114.6,6.747,0.488,0.396,104.5,332.2,332.4,2.142,2.142,-11.29,-11.29,-11.74,-11.74,8.22,104.6,152.2,152.4,2.122,11.29,11.74,2.976,-11.25,-11.7,,,
