
Data was saved using Vista Data Vision
Saved: 2018-08-24 18:55:26

Time Period: 2017-01-01 00:00:00 - 2018-01-01 00:00:00

Time,Oceano Dunes: 10m StandevWS[N/A],Oceano Dunes: 10m-2m WS[N/A],Oceano Dunes: 10m-7m WS[N/A],Oceano Dunes: 2m StandevWS[N/A],Oceano Dunes: 7m StandevWS[N/A],Oceano Dunes: Battery Voltage[V],Oceano Dunes: Relative Humidity[%RH],Oceano Dunes: Sensit Kinetic Energy[N/A],Oceano Dunes: Sensit Particle Count[Counts],Oceano Dunes: Sigma Theta (CSI) 10m[°],Oceano Dunes: Sigma Theta (CSI) 2m[°],Oceano Dunes: Sigma Theta (CSI) 7m[°],Oceano Dunes: Sigma Theta (Yam) 10m[°],Oceano Dunes: Sigma Theta (Yam) 2m[°],Oceano Dunes: Sigma Theta (Yam) 7m[°],Oceano Dunes: SWD 10m[°],Oceano Dunes: SWD 7m[°],Oceano Dunes: SWD 2m[°],Oceano Dunes: SWS 10m[m/s],Oceano Dunes: SWS 10m[m/s],Oceano Dunes: SWS 2m[m/s],Oceano Dunes: SWS 2m[m/s],Oceano Dunes: SWS 7m[m/s],Oceano Dunes: SWS 7m[m/s],Oceano Dunes: Temperature[°C],Oceano Dunes: Tower S1 10m Wind Speed[m/s],Oceano Dunes: Tower S1 RH[%RH],Oceano Dunes: Tower S1 Temperature[°C],Oceano Dunes: Tower S1 Wind Direction[°],Oceano Dunes: VWD 10m[°],Oceano Dunes: VWD 2m[°],Oceano Dunes: VWD 7m[°],Oceano Dunes: VWS 10m[m/s],Oceano Dunes: VWS 2m[m/s],Oceano Dunes: VWS 7m[m/s],Oceano Dunes: WS Gust 10m[m/s],Oceano Dunes: WS Gust 2m[m/s],Oceano Dunes: WS Gust 7m[m/s],Oceano Dunes: WS Gust Time 10m[N/A],Oceano Dunes: WS Gust Time 2m[N/A],Oceano Dunes: WS Gust Time 7m[N/A]
2017-01-01 00:00:00,24.039296113495,14.225999832153,14.4359998703,-4.6569600054407,-3.6376899268603,12.66,75.42,10,2,8.78,114.6,114.6,6.976,0.432,0.331,39.74,335.7,331.6,3.446,3.446,-10.78,-10.78,-10.99,-10.99,6.964,3.446,75.42,6.964,39.64,39.64,151.6,155.7,3.406,10.78,10.99,7.717,-10.76,-10.95,,,
2017-01-01 01:00:00,54.339501631737,13.645000219345,13.834999799728,-4.3091999576569,-2.5936399617052,12.65,75.61,0,0,51.55,114.6,114.6,19.1,0.399,0.236,84.7,335.7,331.6,2.845,2.845,-10.8,-10.8,-10.99,-10.99,6.611,2.845,75.61,6.611,80.2,80.2,151.6,155.7,1.692,10.8,10.99,5.428,-10.75,-10.94,,,
2017-01-01 02:00:00,104.0211045126,13.619000196457,13.819000005722,-4.0500000715256,-3.6300001442432,12.65,75.94,0,0,33.45,114.6,114.6,36.9,0.375,0.33,14.54,335.6,331.6,2.819,2.819,-10.8,-10.8,-11,-11,6.664,2.819,75.94,6.664,13.2,13.2,151.6,155.6,2.339,10.8,11,4.027,-10.76,-10.95,,,
2017-01-01 03:00:00,23.630774506187,14.455000400543,14.674999713898,-2.7125000953674,-3.9741298614097,12.59,81.3,0,0,9.35,114.6,114.6,6.555,0.25,0.359,46.16,335.3,331.7,3.605,3.605,-10.85,-10.85,-11.07,-11.07,5.271,3.605,81.3,5.271,45.68,45.68,151.7,155.3,3.557,10.85,11.08,6.141,-10.81,-11.03,,,
2017-01-01 04:00:00,25.514998733997,13.167999505997,13.417999505997,-2.7685999914646,-4.9059998055696,12.61,83.7,0,0,15.2,114.6,114.6,11.25,0.254,0.44,40.33,335,331.8,2.268,2.268,-10.9,-10.9,-11.15,-11.15,4.81,2.268,83.7,4.81,39.33,39.33,151.8,155,2.189,10.9,11.15,5.091,-10.84,-11.08,,,
2017-01-01 05:00:00,22.442000062942,13.389999628067,13.67999958992,-4.8135997892857,-5.1994897827005,12.6,85.7,0,0,17.13,114.6,114.6,9.16,0.44,0.463,59.22,334.7,331.8,2.45,2.45,-10.94,-10.94,-11.23,-11.23,4.04,2.45,85.7,4.04,60.79,60.79,151.8,154.7,2.341,10.94,11.23,3.908,-10.91,-11.18,,,
2017-01-01 06:00:00,53.844477550049,13.911999940872,14.201999902725,-5.4032800266457,-4.8937500268221,12.59,87.9,0,0,26.74,114.6,114.6,18.24,0.493,0.435,80.6,334.6,331.8,2.952,2.952,-10.96,-10.96,-11.25,-11.25,3.649,2.952,87.9,3.649,75.64,75.64,151.8,154.6,2.63,10.95,11.25,4.636,-10.93,-11.23,,,
2017-01-01 07:00:00,38.995798428249,13.503999471664,13.803999662399,-4.9190399467564,-5.5497600219154,12.58,88.5,0,0,19.13,114.6,114.6,15.45,0.448,0.492,71.42,334.5,331.8,2.524,2.524,-10.98,-10.98,-11.28,-11.28,3.296,2.524,88.5,3.296,71.85,71.85,151.8,154.5,2.383,10.98,11.28,4.353,-10.96,-11.25,,,
2017-01-01 08:00:00,43.258859884872,13.937000274658,14.246999740601,-5.3862700944948,-5.1436798809242,12.52,88.4,0,0,18.4,114.6,114.6,14.58,0.491,0.456,64.43,334.5,331.8,2.967,2.967,-10.97,-10.97,-11.28,-11.28,3.406,2.967,88.4,3.406,60.21,60.21,151.8,154.5,2.814,10.97,11.28,5.445,-10.9,-11.2,,,
2017-01-01 09:00:00,19.92366010603,13.870000362396,14.070000171661,-4.2159000090122,-2.9066400446749,12.95,83.4,0,0,8.47,114.6,114.6,6.511,0.39,0.264,47.42,335.5,331.7,3.06,3.06,-10.81,-10.81,-11.01,-11.01,5.918,3.06,83.4,5.918,47.68,47.68,151.7,155.5,3.027,10.81,11.01,4.313,-10.65,-10.73,,,
2017-01-01 10:00:00,20.536619441395,13.316000461578,13.24599981308,-2.5668801405382,-2.6856499435067,13.12,71.99,0,0,8.48,114.6,114.5,7.345,0.244,0.257,35.78,337.6,331.5,2.796,2.796,-10.52,-10.52,-10.45,-10.45,9.13,2.796,71.99,9.13,35.88,35.88,151.5,157.6,2.766,10.52,10.45,4.067,-10.4,-10.22,,,
